"filename", "language", "Vue", "comment", "blank", "total"
"c:\Users\Yemax\Desktop\lession\tournament\src\views\LoginView.vue", "Vue", -295, -4, -40, -339
"c:\Users\Yemax\Desktop\lession\tournament\src\views\login\LoginView.vue", "Vue", 295, 4, 40, 339
"Total", "-", 0, 0, 0, 0
